file,path,mass_init,time_death
Z0.014Y0.273_ROT0.00_M9.8.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M9.8.TAB,9.8,25141096.137
Z0.014Y0.273_ROT0.00_M9.6.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M9.6.TAB,9.6,26091134.942
Z0.014Y0.273_ROT0.00_M9.4.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M9.4.TAB,9.4,26946558.791
Z0.014Y0.273_ROT0.00_M9.2.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M9.2.TAB,9.2,28073780.715
Z0.014Y0.273_ROT0.00_M9.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M9.0.TAB,9.0,29257891.293
Z0.014Y0.273_ROT0.00_M8.8.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M8.8.TAB,8.8,31324282.556
Z0.014Y0.273_ROT0.00_M8.6.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M8.6.TAB,8.6,31867745.953
Z0.014Y0.273_ROT0.00_M8.4.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M8.4.TAB,8.4,33426964.677
Z0.014Y0.273_ROT0.00_M8.2.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M8.2.TAB,8.2,35063186.648
Z0.014Y0.273_ROT0.00_M8.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M8.0.TAB,8.0,36963828.581
Z0.014Y0.273_ROT0.00_M7.8.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M7.8.TAB,7.8,38813690.248
Z0.014Y0.273_ROT0.00_M7.6.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M7.6.TAB,7.6,41018077.969
Z0.014Y0.273_ROT0.00_M7.4.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M7.4.TAB,7.4,43317258.713
Z0.014Y0.273_ROT0.00_M7.2.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M7.2.TAB,7.2,45771218.122
Z0.014Y0.273_ROT0.00_M7.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M7.0.TAB,7.0,48669326.909
Z0.014Y0.273_ROT0.00_M6.8.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M6.8.TAB,6.8,51787125.263
Z0.014Y0.273_ROT0.00_M6.6.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M6.6.TAB,6.6,55293694.761
Z0.014Y0.273_ROT0.00_M6.4.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M6.4.TAB,6.4,59144419.781
Z0.014Y0.273_ROT0.00_M6.2.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M6.2.TAB,6.2,63475629.122
Z0.014Y0.273_ROT0.00_M6.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M6.0.TAB,6.0,68287718.189
Z0.014Y0.273_ROT0.00_M5.8.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M5.8.TAB,5.8,73717767.005
Z0.014Y0.273_ROT0.00_M5.6.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M5.6.TAB,5.6,80046983.334
Z0.014Y0.273_ROT0.00_M5.4.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M5.4.TAB,5.4,87601254.279
Z0.014Y0.273_ROT0.00_M5.2.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M5.2.TAB,5.2,95909652.403
Z0.014Y0.273_ROT0.00_M5.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M5.0.TAB,5.0,104971496.61
Z0.014Y0.273_ROT0.00_M4.8.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M4.8.TAB,4.8,116828872.45
Z0.014Y0.273_ROT0.00_M4.6.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M4.6.TAB,4.6,129665524.15
Z0.014Y0.273_ROT0.00_M4.4.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M4.4.TAB,4.4,144155361.37
Z0.014Y0.273_ROT0.00_M4.2.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M4.2.TAB,4.2,162613801.04
Z0.014Y0.273_ROT0.00_M4.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M4.0.TAB,4.0,184706711.41
Z0.014Y0.273_ROT0.00_M3.8.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M3.8.TAB,3.8,211668066.5
Z0.014Y0.273_ROT0.00_M3.6.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M3.6.TAB,3.6,244661395.84
Z0.014Y0.273_ROT0.00_M3.4.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M3.4.TAB,3.4,285225240.49
Z0.014Y0.273_ROT0.00_M3.2.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M3.2.TAB,3.2,337452039.54
Z0.014Y0.273_ROT0.00_M3.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M3.0.TAB,3.0,406477496.17
Z0.014Y0.273_ROT0.00_M2.8.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M2.8.TAB,2.8,496511673.13
Z0.014Y0.273_ROT0.00_M2.6.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M2.6.TAB,2.6,617892849.83
Z0.014Y0.273_ROT0.00_M2.4.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M2.4.TAB,2.4,783223539.7
Z0.014Y0.273_ROT0.00_M2.2.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M2.2.TAB,2.2,1013370922.8
Z0.014Y0.273_ROT0.00_M2.0.TAB,~/Downloads/Z0.014_Y0.273_tracks/Z0.014Y0.273_ROT0.00_M2.0.TAB,2.0,1338243379.4
